dis_doid	dis_name	numgenes_AlteredExpression	numgenes_Biomarker	numgenes_GenomicAlterations	numgenes_PosttranslationalModification	numgenes_Therapeutic	numgenes_dir	numgenes_prop
DOID:863	nervous system disease	5174	8872	6231	636	258	977	11042
DOID:77	gastrointestinal system disease	5673	7864	4239	780	176	150	10208
DOID:331	central nervous system disease	4294	7148	4777	494	204	319	9248
DOID:5295	intestinal disease	3862	5549	2855	454	60	209	7627
DOID:17	musculoskeletal system disease	3751	5763	3281	257	54	38	7593
DOID:28	endocrine system disease	3925	5799	2738	338	129	74	7505
DOID:850	lung disease	4221	5328	2484	414	80	700	7201
DOID:2914	immune system disease	3794	5326	3453	556	68	1873	7139
DOID:936	brain disease	3076	5402	2834	341	167	726	7031
DOID:65	connective tissue disease	3422	5100	2674	214	36	188	6830
DOID:1287	cardiovascular system disease	2346	4976	3572	193	286	1759	6655
DOID:10155	intestinal cancer	3326	4470	2029	393	29	227	6338
DOID:150	disease of mental health	1778	4358	3760	132	77	789	6322
DOID:5672	large intestine cancer	3308	4448	2017	390	28	6314	6318
DOID:9256	colorectal cancer	3196	4333	1991	380	27	6276	6210
DOID:0080001	bone disease	2735	4584	2252	146	28	317	6084
DOID:1324	lung cancer	3717	4307	1794	363	24	6053	6084
DOID:3905	lung carcinoma	3712	4306	1790	363	24	4337	6078
DOID:1289	neurodegenerative disease	2514	4221	3032	210	72	1577	6008
DOID:0014667	disease of metabolism	2711	4445	2789	209	128	945	5944
DOID:170	endocrine gland cancer	3297	4366	1454	284	54	19	5825
DOID:74	hematopoietic system disease	2719	4250	2421	471	51	255	5517
DOID:0080199	colorectal carcinoma	2640	3593	1821	325	9	5473	5473
DOID:1492	eye and adnexa disease	1574	4229	2104	112	86	45	5332
DOID:3093	nervous system cancer	3028	3988	1107	378	27	70	5303
DOID:178	vascular disease	1859	3978	2566	129	255	712	5284
DOID:5614	eye disease	1547	4157	2063	112	84	400	5249
DOID:229	female reproductive system disease	2464	3874	1357	219	39	21	5142
DOID:2531	hematologic cancer	2718	3633	2072	487	29	963	4987
DOID:3908	non-small cell lung carcinoma	2794	2842	1143	225	6	3926	4610
DOID:1240	leukemia	2397	3386	1796	444	26	2111	4562
DOID:557	kidney disease	1979	3105	1443	162	109	1514	4340
DOID:76	stomach disease	2134	3044	847	268	19	70	4283
DOID:417	autoimmune hypersensitivity disease	1931	2744	1833	82	21	1759	4101
DOID:120	female reproductive organ cancer	2080	2992	946	203	20	55	4098
DOID:10534	stomach cancer	2076	2818	787	263	11	4025	4048
DOID:3620	central nervous system cancer	2185	2960	754	249	25	3119	4038
DOID:1561	cognitive disorder	1324	2523	2320	96	29	91	4027
DOID:3118	hepatobiliary disease	1712	2831	1409	95	89	14	3961
DOID:1319	brain cancer	2169	2914	710	184	11	1106	3961
DOID:3996	urinary system cancer	2174	2716	942	206	16	65	3917
DOID:4194	glucose metabolism disease	1955	2760	1242	122	53	32	3886
DOID:5517	stomach carcinoma	1967	2604	761	228	0	3720	3843
DOID:37	skin disease	1519	2600	1668	74	16	714	3825
DOID:409	liver disease	1598	2641	1323	86	73	1019	3757
DOID:26	pancreas disease	1545	2963	764	108	23	83	3740
DOID:1659	supratentorial cancer	2013	2717	640	166	10	12	3736
DOID:3342	bone inflammation disease	1731	2480	1501	64	16	47	3734
DOID:114	heart disease	1105	2451	1474	69	59	537	3504
DOID:848	arthritis	1688	2357	1267	55	16	2309	3497
DOID:5353	colonic disease	1682	2439	789	104	20	17	3492
DOID:3069	astrocytoma	1882	2533	523	147	10	1008	3489
DOID:3463	breast disease	1826	2196	951	257	38	73	3488
DOID:9351	diabetes mellitus	1800	2288	1131	104	47	2803	3458
DOID:680	tauopathy	1318	2423	1255	110	33	245	3416
DOID:10652	Alzheimer's disease	1309	2400	1239	107	33	3401	3401
DOID:0110044	Alzheimer's disease 11	1308	2397	1232	107	33	3397	3397
DOID:0110045	Alzheimer's disease 12	1308	2397	1232	107	33	3403	3397
DOID:0110047	Alzheimer's disease 14	1308	2397	1232	107	33	3397	3397
DOID:0110043	Alzheimer's disease 10	1308	2397	1232	107	33	3397	3397
DOID:0110041	Alzheimer's disease 8	1308	2397	1232	107	33	3397	3397
DOID:0110039	Alzheimer's disease 7	1308	2397	1232	107	33	3398	3397
DOID:0110038	Alzheimer's disease 6	1308	2397	1232	107	33	3397	3397
DOID:0110037	Alzheimer's disease 5	1308	2397	1232	107	33	3402	3397
DOID:0110035	Alzheimer's disease 2	1308	2397	1232	107	33	3397	3397
DOID:0110046	Alzheimer's disease 13	1308	2397	1232	107	33	3397	3397
DOID:0110048	Alzheimer's disease 15	1308	2397	1232	107	33	3397	3397
DOID:2277	gonadal disease	1456	2336	928	113	25	6	3356
DOID:1612	breast cancer	1760	2058	920	255	38	7124	3326
DOID:3459	breast carcinoma	1754	2034	902	254	38	6968	3295
DOID:219	colon cancer	1615	2197	665	101	19	3164	3208
DOID:3068	glioblastoma multiforme	1661	2318	415	129	10	3374	3196
DOID:3074	giant cell glioblastoma	1655	2302	412	125	7	3177	3177
DOID:655	inherited metabolic disorder	1013	2139	1519	47	51	119	3076
DOID:2468	psychotic disorder	768	2025	1754	31	4	1104	3073
DOID:1793	pancreatic cancer	1444	2307	565	96	16	2875	3061
DOID:4905	pancreatic carcinoma	1437	2297	559	94	15	2763	3051
DOID:6050	esophageal disease	1547	1943	643	174	7	32	2954
DOID:1100	ovarian disease	1287	1997	739	104	18	17	2930
DOID:1520	colon carcinoma	1513	2052	467	89	0	2832	2918
DOID:5419	schizophrenia	731	1870	1651	30	3	2879	2892
DOID:0060058	lymphoma	1444	1869	1145	179	8	1806	2879
DOID:574	peripheral nervous system disease	452	2298	932	24	37	851	2847
DOID:263	kidney cancer	1563	1816	649	129	8	803	2828
DOID:7148	rheumatoid arthritis	1241	1757	1049	40	4	2723	2733
DOID:5679	retinal disease	878	1995	1018	85	33	724	2725
DOID:5041	esophageal cancer	1472	1724	559	159	5	1417	2696
DOID:2394	ovarian cancer	1229	1840	584	101	16	3119	2692
DOID:184	bone cancer	1415	1941	368	83	4	250	2687
DOID:1107	esophageal carcinoma	1426	1724	557	155	4	1524	2667
DOID:2152	ovary epithelial cancer	1206	1801	556	100	16	6	2639
DOID:870	neuropathy	389	2168	787	24	30	884	2633
DOID:4001	ovarian carcinoma	1202	1792	550	100	16	3067	2631
DOID:1192	peripheral nervous system neoplasm	1375	1744	394	115	3	36	2589
DOID:769	neuroblastoma	1324	1702	363	115	2	2511	2515
DOID:365	bladder disease	1165	1750	497	91	24	24	2491
DOID:10763	hypertension	700	1826	1065	27	90	2377	2473
DOID:4451	renal carcinoma	1400	1546	487	119	6	665	2467
DOID:6713	cerebrovascular disease	694	1607	1060	24	83	1932	2387
DOID:4450	renal cell carcinoma	1340	1403	456	114	6	2582	2339
DOID:1037	lymphoblastic leukemia	1106	1537	905	119	4	288	2337
DOID:3347	osteosarcoma	1226	1708	227	61	3	2286	2329
DOID:10825	essential hypertension	620	1706	1018	20	66	2377	2322
DOID:11054	urinary bladder cancer	1102	1568	457	90	10	2198	2279
DOID:345	uterine disease	928	1593	488	72	13	10	2275
DOID:3376	bone osteosarcoma	1185	1636	193	56	0	2247	2252
DOID:0050589	inflammatory bowel disease	890	1436	875	54	22	1577	2227
DOID:3361	pediatric osteosarcoma	1169	1596	190	57	0	2208	2208
DOID:4007	bladder carcinoma	1068	1478	451	87	0	2104	2203
DOID:3393	coronary artery disease	628	1464	832	23	73	3419	2123
DOID:4467	clear cell renal cell carcinoma	1021	1396	384	77	6	2582	2084
DOID:4471	chromophobe renal cell carcinoma	1021	1396	384	77	6	2101	2084
DOID:50	thyroid gland disease	1244	1196	445	86	23	230	2079
DOID:289	endometriosis	982	1391	465	68	8	1188	2054
DOID:3748	esophagus squamous cell carcinoma	1079	1254	366	113	2	2053	2053
DOID:403	mouth disease	818	1415	420	38	9	17	2011
DOID:4465	papillary renal cell carcinoma	1021	1396	4	77	6	2839	1948
DOID:4362	cervical cancer	930	1323	340	71	1	1979	1936
DOID:0060060	non-Hodgkin lymphoma	923	1275	639	112	3	736	1928
DOID:423	myopathy	517	1356	756	13	14	639	1901
DOID:3571	liver cancer	797	1297	252	45	22	5989	1870
DOID:3213	demyelinating disease	655	1161	833	16	7	156	1869
DOID:381	arthropathy	969	1247	312	18	1	2318	1866
DOID:2893	cervix carcinoma	870	1258	321	70	0	1881	1845
DOID:2377	multiple sclerosis	647	1127	820	15	5	1800	1834
DOID:5844	myocardial infarction	496	1184	734	18	57	2066	1805
DOID:9408	acute myocardial infarction	496	1180	732	18	57	2065	1800
DOID:5656	cranial nerve disease	102	1587	373	17	1	86	1785
DOID:1781	thyroid cancer	1128	999	340	78	7	1202	1768
DOID:7757	childhood leukemia	735	1225	485	62	0	1740	1740
DOID:9952	acute lymphocytic leukemia	786	1085	666	96	2	1387	1739
DOID:0060041	autism spectrum disorder	293	1160	832	9	2	1071	1677
DOID:686	liver carcinoma	677	1178	200	38	22	1395	1673
DOID:684	hepatocellular carcinoma	675	1176	199	38	22	6029	1672
DOID:4961	bone marrow disease	607	1123	613	164	7	84	1654
DOID:3211	lysosomal storage disease	587	1170	508	13	31	130	1638
DOID:8692	myeloid leukemia	713	1075	390	202	18	469	1638
DOID:3963	thyroid carcinoma	1047	865	298	59	7	1365	1635
DOID:2320	obstructive lung disease	621	969	548	11	15	104	1587
DOID:612	primary immunodeficiency disease	565	1082	512	9	1	973	1586
DOID:3910	lung adenocarcinoma	1182	75	491	56	1	2438	1557
DOID:2355	anemia	400	1159	554	13	11	847	1554
DOID:4960	bone marrow cancer	574	1035	570	160	7	505	1553
DOID:9261	nasopharynx carcinoma	728	960	314	63	0	1562	1553
DOID:707	B-cell lymphoma	698	1006	467	94	3	1837	1542
DOID:3083	chronic obstructive pulmonary disease	617	923	546	11	15	1429	1541
DOID:363	uterine cancer	661	1059	300	66	2	92	1541
DOID:3683	lung benign neoplasm	747	905	279	75	17	1486	1522
DOID:8466	retinal degeneration	273	1066	666	7	11	125	1516
DOID:0060180	colitis	593	835	618	43	19	1216	1508
DOID:5082	liver cirrhosis	621	887	459	19	21	1182	1484
DOID:8577	ulcerative colitis	583	818	584	30	4	1468	1458
DOID:0110892	inflammatory bowel disease 1	583	818	584	30	4	1958	1458
DOID:374	nutrition disease	433	869	668	59	38	424	1453
DOID:1826	epilepsy	480	1003	429	20	61	1221	1449
DOID:4455	hereditary renal cell carcinoma	1168	10	365	96	4	8	1436
DOID:0050387	nonpapillary renal cell carcinoma	1168	1	362	96	4	2346	1432
DOID:552	pneumonia	486	1159	188	18	32	1071	1407
DOID:303	substance-related disorder	175	794	795	21	27	128	1379
DOID:231	motor neuron disease	391	991	569	26	6	186	1370
DOID:0050700	cardiomyopathy	498	894	401	23	36	929	1350
DOID:14330	Parkinson's disease	672	176	834	32	22	2078	1335
DOID:9455	lipid storage disease	527	949	350	11	29	44	1334
DOID:1380	endometrial cancer	616	822	262	57	1	1643	1333
DOID:4159	skin cancer	634	720	424	31	4	696	1325
DOID:3324	mood disorder	484	813	588	40	3	587	1324
DOID:8893	psoriasis	466	769	560	10	1	1308	1319
DOID:0060892	late onset Parkinson's disease	669	141	822	32	18	247	1311
DOID:9835	refractive error	38	1077	361	1	0	73	1294
DOID:2723	dermatitis	404	849	485	19	4	1116	1287
DOID:13739	nutmeg liver	402	771	663	19	5	1283	1282
DOID:4074	pancreatic adenocarcinoma	584	860	171	17	0	518	1273
DOID:3454	brain infarction	247	826	559	8	74	114	1265
DOID:654	overnutrition	368	801	535	57	38	54	1261
DOID:0060895	autosomal dominant Parkinson's disease 4	645	1	797	32	18	2078	1231
DOID:0060896	autosomal recessive early-onset Parkinson's disease 23	645	1	797	32	18	2078	1231
DOID:0060891	juvenile onset Parkinson's disease 19A	645	1	797	32	18	2078	1231
DOID:3526	cerebral infarction	228	799	548	8	72	2255	1225
DOID:1682	congenital heart disease	218	898	377	21	0	581	1224
DOID:2891	thyroid adenoma	551	801	231	40	5	1215	1220
DOID:4195	hyperglycemia	553	831	193	27	14	1098	1190
DOID:9352	type 2 diabetes mellitus	995	213	82	37	35	3964	1182
DOID:332	amyotrophic lateral sclerosis	333	838	485	14	5	1114	1178
DOID:8552	chronic myeloid leukemia	481	789	286	65	4	1182	1172
DOID:5823	pediatric lymphoma	440	765	319	38	0	1171	1171
DOID:5825	adult lymphoma	439	764	319	38	0	1169	1169
DOID:0080144	childhood acute lymphocytic leukemia	468	668	439	46	2	1096	1163
DOID:2174	ocular cancer	525	799	211	69	0	24	1154
DOID:8398	osteoarthritis	965	21	302	18	9	1834	1146
DOID:14221	metabolic syndrome X	319	737	486	10	14	1125	1125
DOID:2742	auditory system disease	112	892	333	1	8	8	1123
DOID:3082	interstitial lung disease	376	905	178	9	27	352	1123
DOID:854	collagen disease	468	681	353	13	2	63	1115
DOID:12849	autistic disorder	144	763	521	7	2	1675	1112
DOID:1091	tooth disease	416	718	279	18	3	20	1106
DOID:1686	glaucoma	200	815	371	3	6	770	1101
DOID:75	lymphatic system disease	416	672	354	39	5	8	1101
DOID:715	T-cell leukemia	500	750	297	27	2	457	1091
DOID:9452	fatty liver disease	429	785	237	8	28	1461	1074
DOID:4610	intestinal benign neoplasm	524	632	155	48	16	182	1066
DOID:10907	microcephaly	26	958	228	1	0	1064	1064
DOID:649	prion disease	375	727	261	15	9	175	1062
DOID:0050745	diffuse large B-cell lymphoma	485	665	257	53	0	1043	1052
DOID:10952	nephritis	369	734	284	12	35	1517	1050
DOID:0050908	myelodysplastic syndrome	370	683	342	72	1	1034	1033
DOID:12930	dilated cardiomyopathy	376	655	313	11	7	512	1023
DOID:8857	lupus erythematosus	775	402	149	29	1	581	1019
DOID:5409	lung small cell carcinoma	462	651	212	34	3	972	996
DOID:419	scleroderma	444	583	284	12	2	989	993
DOID:418	systemic scleroderma	442	578	284	12	1	995	988
DOID:2921	glomerulonephritis	360	681	259	11	35	1517	988
DOID:3078	grade III astrocytoma	559	551	137	36	0	1040	985
DOID:1074	kidney failure	212	584	442	6	53	840	983
DOID:10969	hemiplegia	131	717	299	4	4	41	979
DOID:0090104	Huntington's disease-like 2	361	688	211	10	6	987	978
DOID:0090103	Huntington's disease-like 1	361	688	211	10	6	978	978
DOID:12858	Huntington's disease	361	688	211	10	6	978	978
DOID:3498	pancreatic ductal adenocarcinoma	425	657	113	13	0	970	977
DOID:0050635	alternating hemiplegia of childhood	131	716	298	4	4	979	977
DOID:10124	corneal disease	279	702	226	19	7	47	971
DOID:2797	idiopathic interstitial pneumonia	304	797	83	15	26	1334	967
DOID:1247	blood coagulation disease	283	678	350	9	16	312	959
DOID:235	colonic benign neoplasm	466	548	135	42	14	947	947
DOID:0060224	atrial fibrillation	227	644	399	5	2	939	939
DOID:302	substance abuse	145	715	363	19	25	412	927
DOID:3770	pulmonary fibrosis	288	770	74	6	23	924	924
DOID:2030	anxiety disorder	420	454	311	34	6	1150	918
DOID:1596	mental depression	431	522	319	25	3	2419	917
DOID:5604	adult acute lymphocytic leukemia	361	522	342	29	0	860	912
DOID:1443	cerebral degeneration	90	617	247	118	33	3401	910
DOID:1470	major depressive disorder	430	501	306	17	3	2370	897
DOID:2952	inner ear disease	50	708	292	1	6	12	894
DOID:4138	bile duct disease	315	613	213	13	25	9	893
DOID:9120	amyloidosis	312	603	197	4	0	694	887
DOID:0080147	lymphoblastic lymphoma	345	535	309	34	2	879	887
DOID:4706	infratentorial cancer	391	566	151	34	1	11	883
DOID:640	encephalomyelitis	330	675	71	1	0	865	879
DOID:0060249	scoliosis	19	805	127	0	0	924	876
DOID:9884	muscular dystrophy	262	606	308	10	1	280	876
DOID:0050951	hereditary ataxia	226	629	257	20	1	35	875
DOID:0050902	medulloblastoma	388	550	138	33	1	942	867
DOID:786	laryngeal disease	385	503	150	25	0	295	866
DOID:8469	influenza	218	694	144	2	0	858	863
DOID:3869	childhood medulloblastoma	386	544	138	30	1	873	862
DOID:3864	adult medulloblastoma	386	544	138	30	1	867	862
DOID:4448	macular degeneration	200	547	369	2	1	44	860
DOID:1532	pleural disease	322	550	228	9	2	15	855
DOID:768	retinoblastoma	409	577	122	62	0	853	853
DOID:4648	familial retinoblastoma	409	577	121	62	0	855	853
DOID:8618	oral cavity cancer	364	584	90	14	2	11	845
DOID:1094	attention deficit hyperactivity disorder	70	576	347	7	2	847	842
DOID:784	chronic kidney disease	184	431	422	4	21	1438	827
DOID:3451	skin carcinoma	444	371	251	18	0	136	824
DOID:4045	muscle cancer	385	516	141	21	1	35	788
DOID:0110425	dilated cardiomyopathy 1A	321	432	224	9	2	773	773
DOID:1059	intellectual disability	46	595	322	2	4	2230	773
DOID:6000	congestive heart failure	195	197	512	16	13	1799	771
DOID:3388	periodontal disease	366	432	179	15	3	326	768
DOID:8947	diabetic retinopathy	239	543	205	8	12	645	751
DOID:3310	atopic dermatitis	316	448	246	5	1	751	751
DOID:10003	sensorineural hearing loss	19	639	203	1	5	1296	740
DOID:780	placenta disease	105	620	93	8	1	29	739
DOID:865	vasculitis	245	425	288	13	0	294	734
DOID:9119	acute myeloid leukemia	308	388	114	164	11	3113	733
DOID:480	movement disease	138	390	367	10	3	362	722
DOID:440	neuromuscular disease	203	436	303	4	2	171	715
DOID:7147	ankylosing spondylitis	176	311	415	10	0	710	710
DOID:10871	age related macular degeneration	133	446	330	2	0	685	707
DOID:2596	larynx cancer	295	416	132	22	0	494	705
DOID:421	hair disease	105	435	279	2	0	17	704
DOID:2600	laryngeal carcinoma	289	414	131	22	0	483	699
DOID:1595	endogenous depression	115	498	296	17	2	2375	684
DOID:615	leukopenia	105	422	305	5	5	440	675
DOID:3907	lung squamous cell carcinoma	238	314	207	18	0	670	670
DOID:3565	meningioma	309	387	177	23	0	646	668
DOID:7007	childhood cerebral astrocytoma	559	28	137	36	0	987	668
DOID:7008	protoplasmic astrocytoma	559	29	137	36	0	985	666
DOID:0060262	gallbladder disease	222	400	208	8	1	42	661
DOID:8567	Hodgkin's lymphoma	400	49	312	16	2	900	658
DOID:0060318	acute promyelocytic leukemia	307	387	114	36	6	651	651
DOID:11714	gestational diabetes	256	343	201	19	1	649	649
DOID:5603	acute T cell leukemia	266	404	204	11	2	1013	646
DOID:319	spinal cord disease	129	485	144	32	2	84	645
DOID:520	aortic disease	243	456	162	4	8	43	644
DOID:9252	amino acid metabolic disorder	185	402	266	7	11	20	644
DOID:9953	B- and T-cell mixed leukemia	242	359	213	38	0	645	639
DOID:2256	osteochondrodysplasia	130	418	268	11	1	224	638
DOID:3772	intraventricular meningioma	303	373	148	22	0	635	634
DOID:6114	cerebral convexity meningioma	303	373	148	22	0	634	634
DOID:4141	intraorbital meningioma	303	373	148	22	0	634	634
DOID:7211	fibrous meningioma	303	373	148	22	0	635	634
DOID:4587	benign meningioma	303	373	148	22	0	634	634
DOID:6548	angiomatous meningioma	303	373	148	22	0	635	634
DOID:0050847	sleep apnea	178	402	185	4	0	148	634
DOID:3627	aortic aneurysm	240	443	156	4	7	314	628
DOID:0050749	peripheral T-cell lymphoma	332	406	140	18	0	190	623
DOID:13580	cholestasis	209	451	97	8	24	420	611
DOID:8628	Hodgkin's lymphoma, lymphocytic depletion	388	11	287	16	2	900	610
DOID:5200	urinary tract obstruction	187	446	55	13	11	27	610
DOID:8543	Hodgkin's lymphoma, lymphocytic-histiocytic predominance	388	13	287	16	2	900	610
DOID:2519	testicular disease	254	370	135	9	1	16	610
DOID:633	myositis	209	398	160	2	0	257	606
DOID:3247	rhabdomyosarcoma	284	408	96	16	0	565	604
DOID:5675	cribriform carcinoma	1	113	449	110	5	2235	602
DOID:4079	heart valve disease	266	312	102	4	1	79	601
DOID:10584	retinitis pigmentosa	51	434	289	3	3	555	596
DOID:7005	gemistocytic astrocytoma	559	33	14	36	0	988	595
DOID:1681	heart septal defect	63	457	162	3	0	88	594
DOID:4535	hypotrichosis	100	346	243	2	0	98	594
DOID:169	neuroendocrine tumor	239	426	101	6	2	491	587
DOID:2154	nephroblastoma	246	346	172	11	0	588	586
DOID:7693	abdominal aortic aneurysm	236	408	131	2	6	586	586
DOID:0050741	alcohol dependence	67	429	320	12	1	585	582
DOID:1574	alcohol use disorder	67	429	320	12	1	637	582
DOID:13223	uterine fibroid	259	277	157	5	5	594	572
DOID:11162	respiratory failure	164	392	144	0	13	79	571
DOID:4386	myofibroma	259	276	157	5	0	570	569
DOID:3717	gastric adenocarcinoma	212	278	170	15	0	453	568
DOID:9588	encephalitis	131	454	87	1	0	324	567
DOID:2226	myeloproliferative neoplasm	178	350	226	19	1	492	565
DOID:987	alopecia	82	334	222	2	0	491	558
DOID:1432	blindness	53	451	126	0	1	393	549
DOID:9553	adrenal gland disease	246	309	169	8	3	9	547
DOID:2213	hemorrhagic disease	191	356	151	6	8	30	543
DOID:2998	testicular cancer	248	301	128	9	1	343	541
DOID:0050523	adult T-cell leukemia	242	380	104	14	2	540	540
DOID:4473	sarcomatoid renal cell carcinoma	1	129	384	77	4	2084	534
DOID:2234	focal epilepsy	142	383	106	5	25	260	534
DOID:1824	status epilepticus	120	425	37	5	13	537	533
DOID:6364	migraine	62	356	241	6	0	526	530
DOID:10908	hydrocephalus	30	439	115	1	0	762	527
DOID:4989	pancreatitis	118	393	138	3	4	828	522
DOID:1307	dementia	264	52	287	12	12	818	522
DOID:3868	melanotic medulloblastoma	386	42	138	30	1	862	521
DOID:8923	skin melanoma	165	250	217	11	0	507	520
DOID:11830	myopia	35	357	197	1	0	495	515
DOID:2786	cerebellar disease	63	274	306	1	0	66	514
DOID:0110433	dilated cardiomyopathy 1E	104	356	177	1	7	512	512
DOID:0110429	dilated cardiomyopathy 1H	104	356	177	1	7	512	512
DOID:0110450	dilated cardiomyopathy 1II	104	356	177	1	7	512	512
DOID:0110460	dilated cardiomyopathy 2A	104	356	177	1	7	512	512
DOID:0110452	dilated cardiomyopathy 1T	104	356	177	1	7	512	512
DOID:0110451	dilated cardiomyopathy 1O	104	356	177	1	7	512	512
DOID:0110435	dilated cardiomyopathy 1GG	104	356	177	1	7	512	512
DOID:0110449	dilated cardiomyopathy 1M	104	356	177	1	7	512	512
DOID:0110448	dilated cardiomyopathy 1HH	104	356	177	1	7	512	512
DOID:0110445	dilated cardiomyopathy 1KK	104	356	177	1	7	512	512
DOID:0110444	dilated cardiomyopathy 1X	104	356	177	1	7	512	512
DOID:0110441	dilated cardiomyopathy 2B	104	356	177	1	7	512	512
DOID:0110439	dilated cardiomyopathy 1P	104	356	177	1	7	512	512
DOID:0110426	dilated cardiomyopathy 1D	104	356	177	1	7	512	512
DOID:0110436	dilated cardiomyopathy 1L	104	356	177	1	7	512	512
DOID:0110438	dilated cardiomyopathy 1JJ	104	356	177	1	7	512	512
DOID:0110437	dilated cardiomyopathy 1K	104	356	177	1	7	512	512
DOID:0110442	dilated cardiomyopathy 1Q	104	356	177	1	7	512	512
DOID:0110432	dilated cardiomyopathy 1NN	104	356	177	1	7	512	512
DOID:0110431	dilated cardiomyopathy 1I	104	356	177	1	7	512	512
DOID:13832	patent ductus arteriosus	91	412	69	6	0	510	511
DOID:1573	communicating hydrocephalus	30	433	97	0	0	481	508
DOID:2876	laryngeal squamous cell carcinoma	229	296	62	18	0	504	505
DOID:0080162	lupus nephritis	222	323	112	1	1	503	503
DOID:13241	Behcet's disease	178	231	234	1	0	502	502
DOID:2913	acute pancreatitis	118	388	107	3	4	741	502
DOID:8649	tongue cancer	238	311	22	9	2	190	500
DOID:626	complement deficiency	139	282	203	0	0	451	497
DOID:9942	lymph node disease	196	255	169	3	1	11	491
DOID:12449	aplastic anemia	153	323	163	8	2	249	488
DOID:2033	communication disorder	18	382	155	0	1	116	488
DOID:0060061	cutaneous T cell lymphoma	269	303	83	16	0	367	487
DOID:3151	skin squamous cell carcinoma	220	275	91	6	0	458	487
DOID:0050742	nicotine dependence	10	105	391	2	0	546	487
DOID:12894	Sjogren's syndrome	175	313	103	5	2	535	481
DOID:0050848	obstructive sleep apnea	154	286	137	3	0	480	480
DOID:4914	esophagus adenocarcinoma	187	266	120	21	0	468	479
DOID:12236	primary biliary cirrhosis	151	271	177	2	8	497	478
DOID:0050873	follicular lymphoma	159	236	194	21	1	477	477
DOID:1657	ventricular septal defect	33	378	110	2	0	444	473
DOID:3165	skin benign neoplasm	174	317	83	6	6	363	470
DOID:1441	autosomal dominant cerebellar ataxia	99	306	194	6	1	156	468
DOID:326	ischemia	104	312	66	4	74	103	467
DOID:3355	fibrosarcoma	223	277	56	4	0	419	464
DOID:0050865	tongue squamous cell carcinoma	227	282	21	7	0	462	462
DOID:3121	gallbladder cancer	185	269	118	6	1	550	461
DOID:3146	lipid metabolism disorder	102	266	250	7	4	8	457
DOID:1067	open-angle glaucoma	72	257	228	0	0	147	454
DOID:8850	salivary gland cancer	169	330	63	5	0	92	454
DOID:4948	gallbladder carcinoma	179	262	115	6	1	545	453
DOID:687	hepatoblastoma	183	296	61	8	11	452	452
DOID:5691	visual cortex disease	274	195	7	4	32	7	450
